doc_id,title,authors,year,source_type,venue_or_publisher,doc_category,topic_tag,doi_or_url,retrieved_date,inclusion_status,exclusion_reason,filename
DOC080,The Environmental Targets (Biodiversity) (England) Regulations 2023,Defra,2023,government,SI 2023/91,policy,policy,https://www.legislation.gov.uk/uksi/2023/91/made,03/07/2026,include,,DOC080.pdf
DOC081,The Environmental Targets (Woodland and Trees Outside Woodland) (England) Regulations 2023,Defra,2023,government,SI 2023/90,policy,policy,https://www.legislation.gov.uk/uksi/2023/90/body/made,03/07/2026,include,,DOC081.pdf
DOC082,Environmental Improvement Plan 2023 (first revision of the 25 Year Environment Plan),Defra,2023,government,Published 31 Jan 2023,policy,policy,https://www.gov.uk/government/publications/environmental-improvement-plan,03/07/2026,include,,DOC082.pdf
DOC083,"The Environmental Protection (Plastic Straws, Cotton Buds and Stirrers) (England) Regulations 2020",Defra,2020,government,SI 2020/971,policy,policy,https://www.legislation.gov.uk/uksi/2020/971/contents/made,03/07/2026,include,,DOC083.pdf
DOC084,The Producer Responsibility Obligations (Packaging and Packaging Waste) Regulations 2024 (Extended Producer Responsibility),Defra,2024,government,SI 2024 (verify no.),policy,policy,https://www.gov.uk/government/collections/extended-producer-responsibility-for-packaging,03/07/2026,include,,DOC084.pdf
DOC085,The Air Quality (Domestic Solid Fuels Standards) (England) Regulations 2020,Defra,2020,government,SI 2020/1095,policy,policy,https://www.legislation.gov.uk/uksi/2020/1095/contents/made,03/07/2026,include,,DOC085.pdf
DOC086,The Marine Strategy Regulations 2010,Defra,2010,government,SI 2010/1627,policy,policy,https://www.legislation.gov.uk/uksi/2010/1627/contents/made,03/07/2026,include,,DOC086.pdf
DOC087,The Water Environment (Water Framework Directive) (England and Wales) Regulations 2017,Defra,2017,government,SI 2017/407,policy,policy,https://www.legislation.gov.uk/uksi/2017/407/contents/made,03/07/2026,include,,DOC087.pdf
DOC088,A Green Future: Our 25 Year Plan to Improve the Environment (25YEP),Defra,2018,government,25YEP (Jan 2018),policy,policy,https://www.gov.uk/government/publications/25-year-environment-plan,03/07/2026,include,,DOC088.pdf
DOC089,Clean Air Zone Framework (England),Defra / DfT,2022,government,PB14756 (v3.0),policy,policy,https://www.gov.uk/government/publications/air-quality-clean-air-zone-framework-for-england/clean-air-zone-framework,03/07/2026,include,,DOC089.pdf
DOC097,Microplastic retention by floodplain grassland vegetation during a major river flood,,2026,peer_reviewed,,,ecological,,18/06/2026,exclude,Main focus is river/floodplain microplastics; atmospheric deposition only used as a comparison (relevance fail).,DOC097.pdf
DOC098,Emerging cardiovascular risks of micro- and nanoplastics: toxic effects and mechanistic pathways,Liu G.; Cai Q.; Qin T.; Yu X.; Pan B.; Ye L.; Jia L.; Wang X.,2026,peer_reviewed,Particle and Fibre Toxicology (BMC / Springer Nature),science,health,10.1186/s12989-026-00669-6,18/06/2026,exclude,General MNP cardiovascular toxicity across all exposure routes; not directly atmospheric/airborne MP (relevance fail).,DOC098.pdf
DOC099,Author Correction - Atmospheric warming contributions from airborne microplastics and nanoplastics (corrigendum),Liu Y.; Fu H.; Zhang H.; Wang Y.; Chakrabarty R.K.; Tu X.; Tang X.; Laskin A.; Carmichael G.R.; Chen J.; Francisco J.S.; Shindell D.T.,2026,peer_reviewed,Nature Climate Change (Springer Nature),science,review,10.1038/s41558-026-02667-0,18/06/2026,exclude,Corrigendum only — contains no scientific content. Substantive article is DOC009 (10.1038/s41558-026-02620-1).,DOC099.pdf
